Age,Family_Size,Cluster
36,1.0,0
37,4.0,3
69,1.0,1
59,2.0,1
19,4.0,3
47,5.0,2
61,3.0,1
47,3.0,3
50,4.0,3
19,4.0,3
22,3.0,3
22,6.0,2
50,5.0,2
27,3.0,3
18,3.0,3
61,1.0,1
20,3.0,3
45,2.0,0
55,1.0,0
88,4.0,1
63,3.0,1
69,3.0,1
42,4.0,3
79,2.0,1
35,3.0,3
27,4.0,3
52,2.0,0
29,4.0,3
79,2.0,1
87,2.0,1
89,2.0,1
63,3.0,1
31,2.0,0
72,6.0,2
41,2.0,0
61,1.0,1
62,2.0,1
56,2.0,1
60,5.0,2
68,2.0,1
19,8.0,2
57,3.0,1
19,5.0,2
51,6.0,2
86,2.0,1
74,2.0,1
23,2.0,0
47,2.0,0
19,6.0,2
50,4.0,3
80,2.0,1
78,1.0,1
48,1.0,0
70,2.0,1
50,5.0,2
83,2.0,1
35,1.0,0
36,2.0,0
35,1.0,0
35,2.0,0
18,3.0,3
73,2.0,1
62,3.0,1
46,2.0,0
43,4.0,3
32,1.0,0
39,1.0,0
89,2.0,1
18,3.0,3
57,2.0,1
18,4.0,3
71,2.0,1
69,2.0,1
42,4.0,3
36,2.0,0
80,2.0,1
69,1.0,1
67,3.0,1
47,4.0,3
49,2.0,0
32,4.0,3
65,4.0,1
78,2.0,1
33,6.0,2
48,1.0,0
58,5.0,2
83,3.0,1
30,4.0,3
35,2.0,0
32,5.0,2
69,2.0,1
71,2.0,1
43,1.0,0
37,2.0,0
42,1.0,0
70,2.0,1
46,2.0,0
21,3.0,3
70,2.0,1
61,3.0,1
60,1.0,1
37,2.0,0
30,2.0,0
32,3.0,3
26,3.0,3
42,1.0,0
18,3.0,3
80,3.0,1
29,2.0,0
88,2.0,1
70,1.0,1
50,4.0,3
43,4.0,3
51,2.0,0
50,3.0,3
74,1.0,1
29,3.0,3
32,2.0,0
60,2.0,1
46,1.0,0
81,2.0,1
41,7.0,2
22,4.0,3
37,3.0,3
43,1.0,0
50,3.0,3
35,2.0,0
65,2.0,1
41,4.0,3
28,2.0,0
55,2.0,1
58,2.0,1
28,3.0,3
48,4.0,3
78,2.0,1
35,3.0,3
76,2.0,1
88,2.0,1
61,3.0,1
79,2.0,1
30,4.0,3
69,2.0,1
65,2.0,1
70,2.0,1
32,4.0,3
46,4.0,3
21,5.0,2
47,3.0,3
39,2.0,0
85,3.0,1
66,2.0,1
50,2.0,0
42,3.0,3
53,1.0,0
37,2.0,0
45,2.0,0
66,1.0,1
33,3.0,3
40,1.0,0
35,1.0,0
27,2.0,0
48,3.0,3
56,2.0,1
25,6.0,2
30,8.0,2
46,3.0,3
49,2.0,0
72,4.0,1
79,2.0,1
35,3.0,3
77,1.0,1
79,2.0,1
42,4.0,3
42,1.0,0
67,2.0,1
26,1.0,0
67,2.0,1
55,1.0,0
56,2.0,1
63,4.0,1
46,2.0,0
32,2.0,0
49,1.0,0
59,2.0,1
22,5.0,2
28,1.0,0
28,3.0,3
75,1.0,1
37,2.0,0
50,2.0,0
50,4.0,3
88,3.0,1
35,5.0,2
35,3.0,3
31,3.0,3
46,1.0,0
